channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH3367,N034,Blissful Serpent Yoga,https://www.youtube.com/@BlissfulSerpentYoga,50000,100,3000,Monologue,en,US,Kundalini-inspired yoga and mindful energy movement,2026-04-16,active
CH3368,N034,Tana Yoga,https://www.youtube.com/@TanaYoga,80000,100,5000,Monologue,en,US,Yoga and mindful movement for emotional balance,2026-04-16,active
CH3369,N034,Yoga with Tianna,https://www.youtube.com/@YogaWithTianna,50000,100,3000,Monologue,en,US,Creative yoga and mindful movement practice,2026-04-16,active
CH3370,N034,Yoga with Zelinda,https://www.youtube.com/@YogaWithZelinda,30000,80,2000,Monologue,en,US,Restorative yoga and mindful relaxation movement,2026-04-16,active
CH3371,N034,COLE CHANCE YOGA,https://www.youtube.com/@ColeChanceYoga,100000,200,5000,Monologue,en,US,Dynamic vinyasa yoga and mindful movement classes,2026-04-16,active
CH3372,N034,Online Yoga School,https://www.youtube.com/@OnlineYogaSchool,50000,100,3000,Monologue,en,US,Comprehensive yoga education and mindful teaching,2026-04-16,active
CH3373,N034,Yogapalooza with Bari Koral,https://www.youtube.com/@Yogapalooza,100000,200,5000,Monologue,en,US,Family yoga and mindful movement for children,2026-04-16,active
CH3374,N034,YOGA WITH AMIT,https://www.youtube.com/@YogaWithAmit,200000,300,5000,Monologue,en,IN,Traditional yoga practice and mindful movement instruction,2026-04-16,active
CH3375,N034,yoginimelbourne,https://www.youtube.com/@yoginimelbourne,100000,300,3000,Monologue,en,AU,Melbourne-based yoga and mindful movement education,2026-04-16,active
CH3376,N034,Yoga with Sigismondi,https://www.youtube.com/@Sigismondi,50000,100,3000,Monologue,en,IT,Italian yoga and mindful movement practice,2026-04-16,active
CH3377,N034,Wim Hof,https://www.youtube.com/@WimHof,500000,300,40000,Monologue,en,NL,Cold exposure breathing and mindful movement method,2026-04-16,active
CH3378,N034,ROMWOD (PLIABILITY),https://www.youtube.com/@ROMWOD,200000,300,10000,Monologue,en,US,Range of motion and mindful stretching for athletes,2026-04-16,active
CH3379,N034,Tom Merrick (Bodyweight Warrior),https://www.youtube.com/@TomMerrick,800000,300,40000,Monologue,en,GB,Flexibility and mindful movement for mobility,2026-04-16,active
CH3380,N034,Mady Morrison,https://www.youtube.com/@MadyMorrison,2000000,400,100000,Monologue,en,DE,German yoga instructor with mindful flow sequences,2026-04-16,active
CH3381,N034,Ashtanga Yoga Led Class,https://www.youtube.com/@AshtangaYogaLed,100000,100,10000,Monologue,en,IN,Traditional Ashtanga yoga and mindful practice,2026-04-16,active
CH3382,N034,The Yoga Room with Alana,https://www.youtube.com/@YogaRoomAlana,50000,100,3000,Monologue,en,US,Mindful yoga practice in a welcoming environment,2026-04-16,active
CH3383,N034,Yoga International,https://www.youtube.com/@YogaInternational,200000,500,5000,Monologue,en,US,Expert-led yoga and mindful movement education platform,2026-04-16,active
CH3384,N034,Aham Yoga,https://www.youtube.com/@AhamYoga,50000,100,3000,Monologue,en,IN,Authentic yoga tradition and mindful practice,2026-04-16,active
CH3385,N034,Yoga Dose,https://www.youtube.com/@YogaDose,200000,200,10000,Monologue,en,CA,Tim Senesi - strong mindful vinyasa yoga classes,2026-04-16,active
CH3386,N034,Leigha Butler Yoga,https://www.youtube.com/@LeighaButlerYoga,100000,200,5000,Monologue,en,US,Power yoga and mindful strength movement,2026-04-16,active
CH3387,N034,Yoga Girl (Rachel Brathen),https://www.youtube.com/@YogaGirl,200000,200,10000,Monologue,en,SE,Yoga teacher and mindful living advocate,2026-04-16,active
CH3388,N034,Rodney Yee Yoga,https://www.youtube.com/@RodneyYeeYoga,100000,100,10000,Monologue,en,US,Master yoga teacher with mindful Iyengar-influenced practice,2026-04-16,active
CH3389,N034,Yoga by Biola,https://www.youtube.com/@YogaByBiola,80000,100,5000,Monologue,en,GB,Yoga and mindful movement for beginners,2026-04-16,active
CH3390,N034,Corepower Yoga,https://www.youtube.com/@CorePowerYoga,100000,200,5000,Monologue,en,US,Hot yoga and mindful power flow classes,2026-04-16,active
CH3391,N034,Yoga Journal,https://www.youtube.com/@YogaJournal,200000,500,5000,Monologue,en,US,Yoga Journal magazine channel - poses tutorials and mindful practice,2026-04-16,active
CH3392,N034,Gaia Yoga,https://www.youtube.com/@GaiaYoga,300000,500,10000,Monologue,en,US,Spiritual yoga and mindful movement streaming platform,2026-04-16,active
CH3393,N034,Peloton Yoga,https://www.youtube.com/@PelotonYoga,100000,100,5000,Monologue,en,US,Peloton yoga classes with mindful movement focus,2026-04-16,active
CH3394,N034,Yoga Nidra Network,https://www.youtube.com/@YogaNidraNetwork,50000,100,3000,Monologue,en,GB,Deep relaxation and mindful yoga nidra practice,2026-04-16,active
CH3395,N034,Yoga Vidya,https://www.youtube.com/@YogaVidya,200000,2000,3000,Monologue,en,DE,Yoga education center and mindful spiritual practice,2026-04-16,active
CH3396,N034,Move with James,https://www.youtube.com/@MoveWithJames,100000,200,5000,Monologue,en,GB,Mindful movement and mobility education,2026-04-16,active
CH3397,N034,Yoga Ranger Studio,https://www.youtube.com/@YogaRangerStudio,100000,200,5000,Monologue,en,US,Aprille Walker - yoga and mindful movement for all levels,2026-04-16,active
CH3398,N034,Kino Yoga (Ashtanga),https://www.youtube.com/@KinoYoga,800000,1000,20000,Monologue,en,US,Ashtanga primary series and mindful yoga tutorials,2026-04-16,active
CH3399,N034,Yoga with Rachel,https://www.youtube.com/@YogaWithRachel,50000,80,3000,Monologue,en,US,Gentle yoga and mindful relaxation practice,2026-04-16,active
CH3400,N034,Qi Gong with Kseny,https://www.youtube.com/@QiGongWithKseny,300000,200,20000,Monologue,en,US,Qi gong and mindful energy movement practice,2026-04-16,active
